FECHA;CoDIGO DE USUARIO;PRODUCTO/S  VENDIDOS CALLE 1 [PRODUCTO/S VENDIDOS ];UBICACION 1;MONTO POR CALLE 1
9/6/2023;5.2;PERAS, PINA, MELoN, UVAS;Cesar Chavez CaNarte;$10 a $15 dolares
10/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA;Cesar Chavez CaNarte;$5 a $10 dolares
11/6/2023;5.2;PERAS, FRESAS, BANANA, SANDIA, MELoN;Cesar Chavez CaNarte;$15 a $20 dolares
5/6/2023;6.1;MANZANAS, FRESAS, BANANA;Av. Olmedo;$5 a $10 dolares
6/6/2023;6.1;PERAS, SANDIA, MELoN, UVAS;Av. Olmedo;$5 a $10 dolares
7/6/2023;6.1;PERAS, MANZANAS;Av. Olmedo;$5 a $10 dolares
8/6/2023;6.1;BANANA, SANDIA, PINA, MELoN;Av. Olmedo;$5 a $10 dolares
9/6/2023;6.1;MANZANAS, FRESAS, SANDIA;Av. Olmedo;$5 a $10 dolares
10/6/2023;6.1;MANZANAS, FRESAS, BANANA;Av. Olmedo;$5 a $10 dolares
11/6/2023;6.1;PERAS, MANZANAS, BANANA, SANDIA, MELoN;Av. Olmedo;$5 a $10 dolares
5/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Calle JuaN MoNtalvo;$5 a $10 dolares
6/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle JuaN MoNtalvo;$5 a $10 dolares
7/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle JuaN MoNtalvo;$5 a $10 dolares
8/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle JuaN MoNtalvo;$15 a $20 dolares
9/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle JuaN MoNtalvo;$20 a $25 dolares
10/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle JuaN MoNtalvo;$15 a $20 dolares
11/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle JuaN MoNtalvo;$25 a $30 dolares
5/6/2023;1.2;MANZANAS, FRESAS, BANANA, SANDIA, PINA;Av. Pedro Gual;$20 a $25 dolares
6/6/2023;1.2;FRESAS, BANANA;Av. Pedro Gual;$5 a $10 dolares
7/6/2023;1.2;MANZANAS, BANANA, SANDIA, MELoN, UVAS;Av. Pedro Gual;$15 a $20 dolares
8/6/2023;1.2;FRESAS, BANANA;Av. Pedro Gual;$5 a $10 dolares
9/6/2023;1.2;PERAS, MANZANAS, FRESAS, PINA;Av. Pedro Gual;$10 a $15 dolares
10/6/2023;1.2;MELoN;Av. Pedro Gual;$5 a $10 dolares
11/6/2023;1.2;MANZANAS;Av. Pedro Gual;$5 a $10 dolares
5/6/2023;2.1;PERAS, MANZANAS, FRESAS, SANDIA, PINA, UVAS;Calle 10 de Agosto ;$30 a $35 dolares
6/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, MELoN, UVAS;Calle 10 de Agosto ;$35 a $40 dolares
7/6/2023;2.1;BANANA;Calle 10 de Agosto ;$25 a $30 dolares
8/6/2023;2.1;PERAS, MANZANAS, PINA, MELoN, UVAS;Calle 10 de Agosto ;$30 a $35 dolares
9/6/2023;2.1;PERAS, MANZANAS, UVAS;Calle 10 de Agosto ;$30 a $35 dolares
10/6/2023;2.1;PERAS, MANZANAS, FRESAS, MELoN, UVAS;Calle 10 de Agosto ;$25 a $30 dolares
11/6/2023;2.1;SANDIA, PINA;Calle 10 de Agosto ;$30 a $35 dolares
5/6/2023;3.3;PERAS, MANZANAS, FRESAS, SANDIA;Av. Ramos Iduarte;$5 a $10 dolares
6/6/2023;3.3;PERAS, MANZANAS, BANANA, SANDIA;Av. Ramos Iduarte;$10 a $15 dolares
7/6/2023;3.3;PERAS, BANANA, UVAS;Av. Ramos Iduarte;$5 a $10 dolares
8/6/2023;3.3;FRESAS, SANDIA, PINA, MELoN;Av. Ramos Iduarte;$5 a $10 dolares
9/6/2023;3.3;MANZANAS, FRESAS, BANANA;Av. Ramos Iduarte;$5 a $10 dolares
