Country Name;PIB per cápita-2015;PIB per cápita -2020;PIB per cápita-2022;Crecimiento de la población -2015;Crecimiento de la población -2020;Crecimiento de la población-2022;Desempleo-2015;Desempleo-2020;Desempleo-2022;Inflación, precios al consumidor (% anual)-2015;Inflación, precios al consumidor-2020;Inflación, precios al consumidor-2022
Togo;449464,5027;503779,0085;572846,4105;2,504545741;2,391219022;2,330910384;2,2;4,028;4,066;2,585003908;1,699284633;7,967573616
Tonga;8001,609468;10640,46972;;-0,473800875;0,288290202;0,790139167;1,941;2,654;3,011;-1,05399832;-0,349737697;10,97136529
Trinidad y Tobago;117278,1614;93649,24062;123075,4962;0,653834662;-0,119021693;0,352078597;2,43;4,21;3,982;4,661215981;0,598986331;
Túnez;7769,849207;9836,879199;11726,17579;1,120928168;0,928583172;0,756904882;15,16;16,373;16,124;4,437371273;5,634151159;8,306461244
Turkmenistán;21729,03829;25540,13015;;1,807271728;1,483129015;1,392296984;4,114;4,799;5,019;;;
Turquía;29517,31524;60001,12184;175841,996;1,944942151;0,780048418;0,665236593;10,24;13,11;10,03;7,670853648;12,27895745;72,30883599
Tuvalu;4504,918636;6793,040826;7691,263461;-0,20205738;1,0261157;0,959325176;;;;;;
Ucrania;46412,60938;101137,5547;146639,2031;-0,26124968;-0,57424247;-14,18845165;9,14;9,48;;48,69986464;2,732492094;20,18363666
Uganda;2443665,122;3145822,967;3443861,102;3,091309156;3,332808745;2,99862764;2,749;4,511;4,28;5,589686063;3,313322895;7,19578886
Uruguay;463219,4528;657528,9972;856081,9856;0,328384513;0,019744819;-0,101211066;7,49;10,33;7,841;8,666269871;9,756406361;9,104379831
Uzbekistán;7072162,463;17688537,08;24919748,21;1,744258375;1,922126527;2,077644911;5,15;5,29;6,006;8,751881967;12,86772974;11,4466437
Vanuatu;288155,0293;336650,7852;347839,2606;2,383501228;2,363729591;2,354426992;1,855;2,017;2,089;2,483268757;5,329350731;
Venezuela;;;;1,108184995;-1,674985598;0,360447056;6,077;7,53;5,328;121,7380853;;
Viet Nam;56310286,13;83233269,03;96890026,03;1,042270946;0,906299235;0,734794058;1,85;2,1;1,923;0,631200905;3,220934367;3,1565075
