Country Name;Country Code;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (kmÂ²);Density (per kmÂ²);Growth Rate;World Population Percentage;Indicator Name;Indicator Code;1970;1980;1990;2000;2010;2015;2020;2022
Bolivia;BOL;América del Sur;12224110;11936162;11090085;10223270;8592656;7096194;5736088;4585693;1098581;11,1272;1,012;0,15;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;294.555.481.261.884;-35.332.385.594.216;246.741.157.451.369;0.675361125043224;237.533.557.597.251;322.053.894.217.879;-995.240.491.983.218;
Brasil;BRA;América del Sur;215313498;213196304;205188205;196353492;175873720;150706446;122288383;96369875;8515767;25,2841;1,0046;2,7;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;768.554.034.546.585;666.299.747.867.278;-606.555.566.873.385;297.091.078.107.165;652.281.617.922.927;-435.831.717.939.337;-451.593.118.067.881;
Barbados;BRB;Norteamérica;281635;280693;278083;274711;264657;258868;253575;241397;430;654,9651;1,0015;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;386.226.140.879.282;-334.830.700.078.626;425.499.451.277.366;-269.214.122.922.608;225.520.692.122.292;-13.469.455.993.221;
Brunei Darussalam;BRN;Asia;449002;441725;421437;396053;333926;261928;187921;133343;5765;77,8841;1,0081;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-995.129.391.949.958;-203.942.377.394.556;0.730069450995472;111.147.982.582.061;-152.238.423.188.406;0.291718917001631;
Bhután;BTN;Asia;782455;772506;743274;705516;587207;558442;415257;298894;38394;20,3796;1,0064;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;75.697.856.132.185;0.50069300928601;107.022.219.600.331;564.980.627.117.775;-105.976.313.250.968;
Botswana;BWA;Africa;2630296;2546402;2305171;2091664;1726985;1341474;938578;592244;582000;4,5194;1,0162;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;160.312.210.728.477;660.839.737.154.741;36.047.556.044.134;-0.104457972122887;787.587.113.231.369;-669.996.519.922.597;-104.003.299.931.591;
República Centroafricana;CAF;Africa;5579144;5343020;4819333;4660067;3759170;2809221;2415276;2067356;622984;8,9555;1,0224;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.0639768947267214;-546.526.372.918.881;-511.220.033.298.814;-518.220.026.360.443;24.859.848.510.043;389.115.882.835.796;-162.477.557.942.373;
Canadá;CAN;Norteamérica;38454327;37888705;35732126;33963412;30683313;27657204;24511510;21434577;9984670;3,8513;1,0078;0,48;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;420.268.257.440.837;194.962.818.944.229;-0.089285801148975;-631.922.236.990.395;
Suiza;CHE;Europa;8740472;8638613;8281732;7822435;7182059;6711693;6319113;6181227;41284;211,7157;1,0056;0,11;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;241.743.670.315.628;337.615.729.497.902;217.363.816.396.787;0.494129822392765;-308.628.211.065.434;
Chile;CHL;América del Sur;19603733;19300315;17870124;17004162;15351799;13342868;11469828;9820481;756102;259.274,00;1,0057;0,25;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.126557133535712;642.849.261.639.216;16.743.185.217.414;377.235.697.726.417;478.894.269.211.156;110.575.838.220.048;-724.886.134.502.005;
China;CHN;Asia;1425887337;1424929781;1393715448;1348191368;1264099069;1153704252;982372466;822534450;9706961;146,8933;1;17,88;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;160.503.992.929.185;649.011.265.514.277;240.655.857.199.583;763.859.767.629.364;10.102.832.622.576;642.073.647.734.702;199.661.901.394.232;
Côte d'Ivoire;CIV;Africa;28160542;26811790;23596741;21120042;16799670;11910540;8303809;5477086;322463;87,3295;1,0248;0,35;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;590.252.521.479.708;-142.544.181.229.233;-481.271.509.640.771;-295.971.089.931.733;461.051.808.845.066;44.630.530.593.795;-0.547616261222245;
